un_country,wb_country,ISO_ID,year,source,n,country,date,cell_phone,gdCURENT,LiteracyRate,morethan_hightshool,completedHischool,correption,transparency,Unemployment
afghanistan,Afghanistan,AFG,2012,TED,1,Afghanistan,2012-01-01,15340100.0,641.871479157538,,,,,2.0,1.69190001487732
afghanistan,Afghanistan,AFG,2013,"EFLUX, TED",4,Afghanistan,2013-01-01,16807200.0,637.165523187024,,,,,2.0,
afghanistan,Afghanistan,AFG,2014,TED,1,Afghanistan,2014-01-01,18407200.0,613.856689167623,,,,,2.0,7.9145002365112305
afghanistan,Afghanistan,AFG,2015,TED,1,Afghanistan,2015-01-01,19709000.0,578.466352941708,,,,,2.0,
afghanistan,Afghanistan,AFG,2016,TED,2,Afghanistan,2016-01-01,21603000.0,509.21866133212603,,,,,2.0,
afghanistan,Afghanistan,AFG,2018,TED,2,Afghanistan,2018-01-01,21976400.0,493.750418116312,,,,,2.0,
albania,Albania,ALB,2010,EFLUX,1,Albania,2010-01-01,2692370.0,4094.3503344202004,,,,,,14.086000442504899
albania,Albania,ALB,2011,"BEHANCE, TED",4,Albania,2011-01-01,3100000.0,4437.14288515077,72.986,12.0026302337646,43.4903411865234,,,13.480899810791
albania,Albania,ALB,2012,BEHANCE,8,Albania,2012-01-01,3500000.0,4247.62998374252,,12.899660110473599,45.279148101806605,,,13.3759002685547
albania,Albania,ALB,2013,"BEHANCE, EFLUX, TED",32,Albania,2013-01-01,3685980.0,4413.06086120676,,,,,,15.8659000396729
albania,Albania,ALB,2014,"BEHANCE, TED",25,Albania,2014-01-01,3359650.0,4578.6319939825,,,,,,18.0548000335693
albania,Albania,ALB,2015,"BEHANCE, EFLUX, TED",19,Albania,2015-01-01,3400960.0,3952.8012152446504,,,,,,17.193000793457
albania,Albania,ALB,2016,"BEHANCE, TED",12,Albania,2016-01-01,3369760.0,4124.055725953521,,,,,,15.417599678039599
albania,Albania,ALB,2017,"ART_EDUCATION, BEHANCE, TED",16,Albania,2017-01-01,3625700.0,4531.0208055598605,,,,,,13.6157999038696
albania,Albania,ALB,2018,BEHANCE,29,Albania,2018-01-01,2714880.0,5284.38018438156,,,,,,12.3037996292114
albania,Albania,ALB,2019,BEHANCE,1,Albania,2019-01-01,2630080.0,5353.2448564014,,,,,,11.4654998779297
algeria,Algeria,DZA,2010,"BEHANCE, TED",13,Algeria,2010-01-01,32780200.0,4479.34171958005,,,,,,9.96000003814697
algeria,Algeria,DZA,2011,TED,2,Algeria,2011-01-01,35615900.0,5462.260897231829,72.986,,,,,9.96000003814697
algeria,Algeria,DZA,2012,"BEHANCE, TED",18,Algeria,2012-01-01,37527700.0,5591.212353224039,,,,,,10.970000267028801
algeria,Algeria,DZA,2013,"BEHANCE, TED",72,Algeria,2013-01-01,39517000.0,5498.78409497823,,,,,,9.81999969482422
algeria,Algeria,DZA,2014,"BEHANCE, TED",33,Algeria,2014-01-01,43298200.0,5494.3523360423,,,,,,10.207200050354
algeria,Algeria,DZA,2015,"BEHANCE, TED",32,Algeria,2015-01-01,43227600.0,4187.50972747204,,,,,,11.2061004638672
algeria,Algeria,DZA,2016,"BEHANCE, TED",45,Algeria,2016-01-01,47041300.0,3945.48208133854,,,,,,10.202400207519501
algeria,Algeria,DZA,2017,"BEHANCE, MEETUP, TED",104,Algeria,2017-01-01,45845700.0,4111.29411013269,,,,,,13.5699996948242
algeria,Algeria,DZA,2018,"BEHANCE, EFLUX, MEETUP, TED",112,Algeria,2018-01-01,51490100.0,4153.73397805915,,,,,,
algeria,Algeria,DZA,2019,"BEHANCE, MEETUP, TED",17,Algeria,2019-01-01,47081100.0,3973.96407191565,,,,,,
andorra,Andorra,AND,2010,TED,1,Andorra,2010-01-01,65495.0,40852.666777443395,,,,,,
andorra,Andorra,AND,2011,"MEETUP, TED",4,Andorra,2011-01-01,65044.0,43335.328861828304,72.986,,,,,
andorra,Andorra,AND,2012,TED,4,Andorra,2012-01-01,63865.0,38686.4612635075,,,,,,
andorra,Andorra,AND,2013,"BEHANCE, TED",12,Andorra,2013-01-01,63931.0,39538.7667220426,,,,,,
andorra,Andorra,AND,2014,"BEHANCE, TED",14,Andorra,2014-01-01,66241.0,41303.9293714464,,32.681079864502,47.8374099731445,,,
andorra,Andorra,AND,2015,"BEHANCE, TED",39,Andorra,2015-01-01,71336.0,35762.523073758,,32.4202499389648,47.5452003479004,,,
andorra,Andorra,AND,2016,"BEHANCE, TED",23,Andorra,2016-01-01,76132.0,37474.6654057245,,32.229190826416,47.3496894836426,,,
andorra,Andorra,AND,2017,"BEHANCE, MEETUP, TED",10,Andorra,2017-01-01,80337.0,38962.8803536703,,,,,,
andorra,Andorra,AND,2018,BEHANCE,1,Andorra,2018-01-01,82614.0,41793.0552583729,,,,,,
angola,Angola,AGO,2011,BEHANCE,5,Angola,2011-01-01,12073200.0,4615.46802807906,72.986,,,,2.5,7.3621997833252
angola,Angola,AGO,2012,"BEHANCE, TED",4,Angola,2012-01-01,12785100.0,5100.095808097671,,,,,2.5,
